unit_id,title,type,skill,inputs,outputs,acceptance,checkpoint,status,depends_on,owner
U001,Initialize workspace and copy templates,META,workspace-init,,STATUS.md;CHECKPOINTS.md;UNITS.csv;DECISIONS.md;GOAL.md,"workspace目录存在且模板文件齐全",C0,TODO,,CODEX
U002,Draft kickoff questions + seed queries,META,pipeline-router,GOAL.md,DECISIONS.md;queries.md,"DECISIONS含C0问题块；queries.md 含非空关键词",C0,TODO,U001,CODEX
U010,Collect candidate papers (multi-route) and normalize metadata,RETRIEVE,literature-engineer,queries.md,papers/papers_raw.jsonl;papers/retrieval_report.md,"papers_raw.jsonl >= 200 条记录（survey 目标），且每条含 title/authors/year/url + 稳定标识（arxiv_id/doi）+ provenance；retrieval_report.md 记录来源/覆盖桶/缺失字段统计",C1,TODO,U002,CODEX
U020,Dedupe+rank and produce core set,CURATE,dedupe-rank,papers/papers_raw.jsonl,papers/papers_dedup.jsonl;papers/core_set.csv,"去重后重复率<2%，dedup 池足够大；survey 目标 core_set >=150（为后续 citations>=150 与每小节证据绑定留出空间）",C1,TODO,U010,CODEX
U030,Build taxonomy (2-level minimum),STRUCTURE,taxonomy-builder,papers/core_set.csv,outline/taxonomy.yml,"taxonomy至少2层且节点有说明",C2,TODO,U020,CODEX
U040,Build outline bullets from taxonomy,STRUCTURE,outline-builder,outline/taxonomy.yml,outline/outline.yml,"outline含章节+小节，且每小节至少3个bullet",C2,TODO,U030,CODEX
U050,Map papers to each subsection,STRUCTURE,section-mapper,papers/core_set.csv;outline/outline.yml,outline/mapping.tsv,"每小节映射>=3篇论文，覆盖率>=80%",C2,TODO,U040,CODEX
U052,Draft C2 review summary (scope+outline),META,pipeline-router,outline/taxonomy.yml;outline/outline.yml;outline/mapping.tsv,DECISIONS.md,"DECISIONS含C2 review摘要",C2,TODO,U050,CODEX
U055,HUMAN approve C2 (scope+outline),META,pipeline-router,DECISIONS.md,DECISIONS.md,"勾选 DECISIONS.md 的 Approve C2",C2,TODO,U052,HUMAN
U058,Download PDFs + extract fulltext snippets,EVIDENCE,pdf-text-extractor,papers/core_set.csv;outline/mapping.tsv,papers/fulltext_index.jsonl,"fulltext_index非空；若 evidence_mode=fulltext 则需若干篇提取成功（strict 会拦截接近0）",C3,TODO,U055,CODEX
U060,Write paper notes for core set,EVIDENCE,paper-notes,papers/core_set.csv;papers/fulltext_index.jsonl,papers/paper_notes.jsonl,"core_set覆盖率100%；标注 evidence_level；每篇至少1条limitation（避免大量重复模板）",C3,TODO,U058,CODEX
U075,Build subsection briefs (writing cards) [NO PROSE],EVIDENCE,subsection-briefs,outline/outline.yml;outline/mapping.tsv;papers/paper_notes.jsonl;GOAL.md,outline/subsection_briefs.jsonl,"每个H3生成写作意图卡（scope_rule/rq/axes/clusters/paragraph_plan），无省略号/无占位符",C3,TODO,U060,CODEX
U090,Verify citations and build ref.bib,CITE,citation-verifier,papers/paper_notes.jsonl,citations/ref.bib;citations/verified.jsonl,"ref.bib每条都有verified.jsonl记录（url+date+title）",C4,TODO,U060,CODEX
U092,Build evidence packs per subsection [NO PROSE],EVIDENCE,evidence-draft,outline/subsection_briefs.jsonl;papers/paper_notes.jsonl;citations/ref.bib,outline/evidence_drafts.jsonl,"每个H3有证据包（>=3 concrete comparisons；evidence_snippets非空；blocking_missing为空）",C4,TODO,U090;U075,CODEX
U094,Rewrite claim-evidence matrix from evidence packs [NO PROSE],EVIDENCE,claim-matrix-rewriter,outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;citations/ref.bib,outline/claim_evidence_matrix.md,"矩阵以 evidence packs 为准：每小节含 `- Claim:` 且 `Evidence:`>=2；无占位/无模板句/无省略号",C4,TODO,U092,CODEX
U096,Define table schemas (schema-first) [NO PROSE],STRUCTURE,table-schema,outline/outline.yml;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;GOAL.md,outline/table_schema.md,"table_schema.md 定义>=2张表（问题+列+证据来源），无占位/无省略号",C4,TODO,U092,CODEX
U097,Fill tables from evidence packs [NO PROSE],STRUCTURE,table-filler,outline/table_schema.md;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;citations/ref.bib,outline/tables.md,"tables.md 至少2张表，行内含 citations，且无占位/无省略号",C4,TODO,U096;U092,CODEX
U095,Draft visuals (timeline/figures) [NO PROSE],STRUCTURE,survey-visuals,outline/outline.yml;outline/claim_evidence_matrix.md;papers/paper_notes.jsonl;citations/ref.bib,outline/timeline.md;outline/figures.md,"timeline>=8条且含引用；figures>=2个spec；无TODO/无SCAFFOLD",C4,TODO,U094,CODEX
U098,Weave transitions (no new facts) [NO PROSE],STRUCTURE,transition-weaver,outline/outline.yml;outline/subsection_briefs.jsonl,outline/transitions.md,"transitions.md 生成可读过渡句（无新事实/无引用）；无占位/无省略号",C5,TODO,U075,CODEX
U100,Write draft (after C2 approval),WRITE,prose-writer,outline/outline.yml;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;outline/transitions.md;outline/tables.md;outline/timeline.md;outline/figures.md;citations/ref.bib;DECISIONS.md,output/DRAFT.md,"根据 briefs+evidence packs 逐节写作（不少于 8 页 PDF 所需长度）；引用key必须来自ref.bib",C5,TODO,U097;U095;U098,CODEX
U105,Polish draft (de-template + coherence),WRITE,draft-polisher,output/DRAFT.md,output/DRAFT.md,"去除套话/ellipsis/模板句；保持引用不变；通过 draft 质量门槛（strict gate）",C5,TODO,U100,CODEX
U108,Global consistency review (terminology + RQ closure),QA,global-reviewer,output/DRAFT.md,output/GLOBAL_REVIEW.md;output/DRAFT.md,"GLOBAL_REVIEW.md 完整（Status: PASS）且 draft 通过质量门槛；术语一致、结论回扣主线",C5,TODO,U105,CODEX
