paper_id,title,year,url,arxiv_id,primary_category,categories,pdf_url,topic,reason
P0001,ReAct: Synergizing Reasoning and Acting in Language Models,2022,http://arxiv.org/abs/2210.03629v3,2210.03629v3,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2210.03629v3,,ranked_by=relevance;score=999;pinned_classic
P0002,Toolformer: Language Models Can Teach Themselves to Use Tools,2023,http://arxiv.org/abs/2302.04761v1,2302.04761v1,cs.CL,cs.CL,https://arxiv.org/pdf/2302.04761v1,,ranked_by=relevance;score=999;pinned_classic
P0003,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,http://arxiv.org/abs/2303.11366v4,2303.11366v4,cs.AI,"cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2303.11366v4,,ranked_by=relevance;score=999;pinned_classic
P0004,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,http://arxiv.org/abs/2305.10601v2,2305.10601v2,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2305.10601v2,,ranked_by=relevance;score=999;pinned_classic
P0005,Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,http://arxiv.org/abs/2305.16291v2,2305.16291v2,cs.AI,"cs.AI,cs.LG",https://arxiv.org/pdf/2305.16291v2,,ranked_by=relevance;score=999;pinned_classic
P0006,"Agentic Large Language Models, a survey",2025,http://arxiv.org/abs/2503.23037v3,2503.23037v3,cs.AI,"cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2503.23037v3,,ranked_by=relevance;score=8;prior_survey
P0007,Modeling LLM Agent Reviewer Dynamics in Elo-Ranked Review System,2026,http://arxiv.org/abs/2601.08829v1,2601.08829v1,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.08829v1,,ranked_by=relevance;score=7;prior_survey
P0008,LLM/Agent-as-Data-Analyst: A Survey,2025,http://arxiv.org/abs/2509.23988v3,2509.23988v3,cs.AI,"cs.AI,cs.DB",https://arxiv.org/pdf/2509.23988v3,,ranked_by=relevance;score=7;prior_survey
P0009,"Large Language Model Agent: A Survey on Methodology, Applications and Challenges",2025,http://arxiv.org/abs/2503.21460v1,2503.21460v1,cs.CL,cs.CL,https://arxiv.org/pdf/2503.21460v1,,ranked_by=relevance;score=7;prior_survey
P0010,Large Language Model Agent in Financial Trading: A Survey,2024,http://arxiv.org/abs/2408.06361v1,2408.06361v1,q-fin.TR,"q-fin.TR,cs.CL",https://arxiv.org/pdf/2408.06361v1,,ranked_by=relevance;score=7;prior_survey
P0011,Beyond Max Tokens: Stealthy Resource Amplification via Tool Calling Chains in LLM Agents,2026,http://arxiv.org/abs/2601.10955v1,2601.10955v1,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2601.10955v1,,ranked_by=relevance;score=8
P0012,Reasoning-Style Poisoning of LLM Agents via Stealthy Style Transfer: Process-Level Attacks and Runtime Monitoring in RSV Space,2025,http://arxiv.org/abs/2512.14448v1,2512.14448v1,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2512.14448v1,,ranked_by=relevance;score=7
P0013,"Personal LLM Agents: Insights and Survey about the Capability, Efficiency and Security",2024,http://arxiv.org/abs/2401.05459v2,2401.05459v2,cs.HC,"cs.HC,cs.AI,cs.SE",https://arxiv.org/pdf/2401.05459v2,,ranked_by=relevance;score=7
P0014,Beyond Perfect APIs: A Comprehensive Evaluation of LLM Agents Under Real-World API Complexity,2026,http://arxiv.org/abs/2601.00268v1,2601.00268v1,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.00268v1,,ranked_by=relevance;score=6
P0015,ReliabilityBench: Evaluating LLM Agent Reliability Under Production-Like Stress Conditions,2026,http://arxiv.org/abs/2601.06112v1,2601.06112v1,cs.AI,cs.AI,https://arxiv.org/pdf/2601.06112v1,,ranked_by=relevance;score=6
P0016,A Survey of Large Language Model Agents for Question Answering,2025,http://arxiv.org/abs/2503.19213v1,2503.19213v1,cs.CL,"cs.CL,cs.AI,cs.HC",https://arxiv.org/pdf/2503.19213v1,,ranked_by=relevance;score=6
P0017,A Survey of Large Language Model Empowered Agents for Recommendation and Search: Towards Next-Generation Information Retrieval,2025,http://arxiv.org/abs/2503.05659v2,2503.05659v2,cs.IR,cs.IR,https://arxiv.org/pdf/2503.05659v2,,ranked_by=relevance;score=6
P0018,AudioToolAgent: An Agentic Framework for Audio-Language Models,2025,http://arxiv.org/abs/2510.02995v1,2510.02995v1,cs.SD,cs.SD,https://arxiv.org/pdf/2510.02995v1,,ranked_by=relevance;score=6
P0019,AutoPDL: Automatic Prompt Optimization for LLM Agents,2025,http://arxiv.org/abs/2504.04365v5,2504.04365v5,cs.LG,"cs.LG,cs.AI,cs.PL",https://arxiv.org/pdf/2504.04365v5,,ranked_by=relevance;score=6
P0020,AutoQual: An LLM Agent for Automated Discovery of Interpretable Features for Review Quality Assessment,2025,http://arxiv.org/abs/2510.08081v1,2510.08081v1,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2510.08081v1,,ranked_by=relevance;score=6
P0021,AutoTool: Efficient Tool Selection for Large Language Model Agents,2025,http://arxiv.org/abs/2511.14650v1,2511.14650v1,cs.AI,cs.AI,https://arxiv.org/pdf/2511.14650v1,,ranked_by=relevance;score=6
P0022,Automating Android Build Repair: Bridging the Reasoning-Execution Gap in LLM Agents with Domain-Specific Tools,2025,http://arxiv.org/abs/2510.08640v2,2510.08640v2,cs.SE,"cs.SE,cs.AI",https://arxiv.org/pdf/2510.08640v2,,ranked_by=relevance;score=6
P0023,Bridging AI and Software Security: A Comparative Vulnerability Assessment of LLM Agent Deployment Paradigms,2025,http://arxiv.org/abs/2507.06323v1,2507.06323v1,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2507.06323v1,,ranked_by=relevance;score=6
P0024,Bridging Symbolic Control and Neural Reasoning in LLM Agents: The Structured Cognitive Loop,2025,http://arxiv.org/abs/2511.17673v3,2511.17673v3,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2511.17673v3,,ranked_by=relevance;score=6
P0025,Complex System Diagnostics Using a Knowledge Graph-Informed and Large Language Model-Enhanced Framework,2025,http://arxiv.org/abs/2505.21291v1,2505.21291v1,cs.AI,cs.AI,https://arxiv.org/pdf/2505.21291v1,,ranked_by=relevance;score=6
P0026,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,2025,http://arxiv.org/abs/2509.07939v2,2509.07939v2,cs.CR,"cs.CR,cs.LG",https://arxiv.org/pdf/2509.07939v2,,ranked_by=relevance;score=6
P0027,LLM Agents Beyond Utility: An Open-Ended Perspective,2025,http://arxiv.org/abs/2510.14548v1,2510.14548v1,cs.AI,cs.AI,https://arxiv.org/pdf/2510.14548v1,,ranked_by=relevance;score=6
P0028,LLM Agents Making Agent Tools,2025,http://arxiv.org/abs/2502.11705v2,2502.11705v2,cs.CL,"cs.CL,cs.AI,cs.LG,cs.MA",https://arxiv.org/pdf/2502.11705v2,,ranked_by=relevance;score=6
P0029,LLM Agents for Knowledge Discovery in Atomic Layer Processing,2025,http://arxiv.org/abs/2509.26201v1,2509.26201v1,cs.AI,"cs.AI,cond-mat.mes-hall,cond-mat.mtrl-sci",https://arxiv.org/pdf/2509.26201v1,,ranked_by=relevance;score=6
