section_id	section_title	paper_id	why
3.1	Agent loop and action spaces	P0024	Matches subsection 'Agent loop and action spaces' via shared terms (loop, action, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0057	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0103	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, compute) in the paper title/abstract.
3.1	Agent loop and action spaces	P0188	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, appear) in the paper title/abstract.
3.1	Agent loop and action spaces	P0081	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0095	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0136	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0164	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0170	Matches subsection 'Agent loop and action spaces' via shared terms (agent, act, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0173	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, data) in the paper title/abstract.
3.1	Agent loop and action spaces	P0070	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0083	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0105	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0200	Matches subsection 'Agent loop and action spaces' via shared terms (agent, loop, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0181	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, constraints) in the paper title/abstract.
3.1	Agent loop and action spaces	P0023	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0099	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, environment) in the paper title/abstract.
3.1	Agent loop and action spaces	P0001	Matches subsection 'Agent loop and action spaces' via shared terms (action, benchmarks, human) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0085	Matches subsection 'Tool interfaces and orchestration' via shared terms (orchestration, tool, benchmarks) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0192	Matches subsection 'Tool interfaces and orchestration' via shared terms (orchestration, tool, constraints) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0060	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, benchmarks, core) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0021	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, design, major) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0045	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, calling, data) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0129	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, architecture, core) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0158	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, apis, benchmarks) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0011	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, benchmarks, calling) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0171	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, data, evaluation) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0046	Matches subsection 'Tool interfaces and orchestration' via shared terms (apis, calling, datasets) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0138	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, data, datasets) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0178	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, benchmarks, constraints) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0180	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, evidence, tasks) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0036	Matches subsection 'Tool interfaces and orchestration' via shared terms (benchmarks, data, evaluation) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0101	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, calling, modes) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0128	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, benchmarks, selection) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0051	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, architecture, calling) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0001	Matches subsection 'Tool interfaces and orchestration' via shared terms (benchmarks, human, interface) in the paper title/abstract. (also mapped 1× already)
4.1	Planning and reasoning loops	P0024	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, architecture, calls) in the paper title/abstract. (also mapped 1× already)
4.1	Planning and reasoning loops	P0108	Matches subsection 'Planning and reasoning loops' via shared terms (planning, how, memory) in the paper title/abstract.
4.1	Planning and reasoning loops	P0130	Matches subsection 'Planning and reasoning loops' via shared terms (planning, reasoning, evaluation) in the paper title/abstract.
4.1	Planning and reasoning loops	P0034	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, components, explicit) in the paper title/abstract.
4.1	Planning and reasoning loops	P0076	Matches subsection 'Planning and reasoning loops' via shared terms (planning, benchmarks, failure) in the paper title/abstract.
4.1	Planning and reasoning loops	P0200	Matches subsection 'Planning and reasoning loops' via shared terms (planning, reasoning, human) in the paper title/abstract. (also mapped 1× already)
4.1	Planning and reasoning loops	P0012	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, explicit, how) in the paper title/abstract.
4.1	Planning and reasoning loops	P0013	Matches subsection 'Planning and reasoning loops' via shared terms (architecture, choices, components) in the paper title/abstract.
4.1	Planning and reasoning loops	P0144	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, datasets, interface) in the paper title/abstract.
4.1	Planning and reasoning loops	P0185	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, architecture, benchmarks) in the paper title/abstract.
4.1	Planning and reasoning loops	P0213	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, explicit, identify) in the paper title/abstract.
4.1	Planning and reasoning loops	P0154	Matches subsection 'Planning and reasoning loops' via shared terms (planning, data, decomposition) in the paper title/abstract.
4.1	Planning and reasoning loops	P0159	Matches subsection 'Planning and reasoning loops' via shared terms (planning, constraints, memory) in the paper title/abstract.
4.1	Planning and reasoning loops	P0033	Matches subsection 'Planning and reasoning loops' via shared terms (benchmarks, calls, components) in the paper title/abstract.
4.1	Planning and reasoning loops	P0091	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, calls, compute) in the paper title/abstract.
4.1	Planning and reasoning loops	P0113	Matches subsection 'Planning and reasoning loops' via shared terms (planning, datasets, memory) in the paper title/abstract.
4.1	Planning and reasoning loops	P0134	Matches subsection 'Planning and reasoning loops' via shared terms (data, failure, failures) in the paper title/abstract.
4.1	Planning and reasoning loops	P0001	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, benchmarks, components) in the paper title/abstract. (also mapped 2× already)
4.2	Memory and retrieval (RAG)	P0167	Matches subsection 'Memory and retrieval (RAG)' via shared terms (memory, benchmarks, components) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0131	Matches subsection 'Memory and retrieval (RAG)' via shared terms (retrieval, core, design) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0103	Matches subsection 'Memory and retrieval (RAG)' via shared terms (memory, compute, constraints) in the paper title/abstract. (also mapped 1× already)
4.2	Memory and retrieval (RAG)	P0032	Matches subsection 'Memory and retrieval (RAG)' via shared terms (rag, evaluation, rag) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0166	Matches subsection 'Memory and retrieval (RAG)' via shared terms (memory, architecture, latency) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0030	Matches subsection 'Memory and retrieval (RAG)' via shared terms (retrieval, design, evaluation) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0093	Matches subsection 'Memory and retrieval (RAG)' via shared terms (retrieval, benchmarks, explicit) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0104	Matches subsection 'Memory and retrieval (RAG)' via shared terms (retrieval, data, datasets) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0126	Matches subsection 'Memory and retrieval (RAG)' via shared terms (memory, components, core) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0127	Matches subsection 'Memory and retrieval (RAG)' via shared terms (memory, architecture, benchmarks) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0186	Matches subsection 'Memory and retrieval (RAG)' via shared terms (memory, identify, memory) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0191	Matches subsection 'Memory and retrieval (RAG)' via shared terms (retrieval, benchmarks, design) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0050	Matches subsection 'Memory and retrieval (RAG)' via shared terms (benchmarks, components, core) in the paper title/abstract.
4.2	Memory and retrieval (RAG)	P0177	Matches subsection 'Memory and retrieval (RAG)' via shared terms (memory, architecture, human) in the paper title/abstract.
