unit_id,title,type,skill,inputs,outputs,acceptance,checkpoint,status,depends_on,owner
U001,Initialize workspace and copy templates,META,workspace-init,,STATUS.md;CHECKPOINTS.md;UNITS.csv;DECISIONS.md;GOAL.md;PIPELINE.lock.md;output/QUALITY_GATE.md;output/RUN_ERRORS.md,workspace目录存在且模板文件齐全（含 error sinks: QUALITY_GATE/RUN_ERRORS）,C0,DONE,,CODEX
U002,Draft kickoff questions + seed queries,META,pipeline-router,GOAL.md,DECISIONS.md;queries.md,DECISIONS含C0问题块；queries.md 含非空关键词,C0,DONE,U001,CODEX
U010,Collect candidate papers (multi-route) and normalize metadata,RETRIEVE,literature-engineer,queries.md,papers/papers_raw.jsonl;papers/retrieval_report.md,候选池满足 profile：course_paper>=200；survey/deep>=1200；每条含 title/authors/year/url + 稳定标识（arxiv_id/doi）+ provenance；abstract 模式下 abstract 缺失率应显著低于“多数缺失”；retrieval_report.md 记录来源/覆盖桶/缺失字段统计,C1,DONE,U002,CODEX
U020,Dedupe+rank and produce core set,CURATE,dedupe-rank,papers/papers_raw.jsonl,papers/papers_dedup.jsonl;papers/core_set.csv,去重后重复率<2%；dedup 池同时 >=200 且 >=core_size*4；core_set 行数满足 queries.md:core_size（course_paper=48；survey/deep=300）,C1,DONE,U010,CODEX
U030,Build taxonomy (2-level minimum),STRUCTURE,taxonomy-builder,papers/core_set.csv,outline/taxonomy.yml,taxonomy至少2层且节点有说明,C2,DONE,U020,CODEX
U035,Build chapter skeleton from taxonomy [NO PROSE],STRUCTURE,chapter-skeleton,outline/taxonomy.yml;GOAL.md,outline/chapter_skeleton.yml,chapter_skeleton.yml 为 retrieval-informed 章节骨架；每章含 id/title/rationale/seed_topics/target_h3_count；无占位/无省略号,C2,DONE,U030,CODEX
U037,Bind papers to chapters before H3 decomposition [NO PROSE],STRUCTURE,section-bindings,papers/core_set.csv;outline/chapter_skeleton.yml;papers/papers_dedup.jsonl,outline/section_bindings.jsonl;outline/section_binding_report.md,每章生成 primary/support 论文绑定与 coverage_count；section_binding_report.md 含 PASS/BLOCKED/REROUTE；无占位/无省略号,C2,DONE,U035,CODEX
U038,Build section briefs from chapter layer [NO PROSE],STRUCTURE,section-briefs,outline/chapter_skeleton.yml;outline/section_bindings.jsonl;GOAL.md,outline/section_briefs.jsonl,每章生成 brief（section_rationale/contrast_lens/must_cover/target_h3_count/subsection_seeds/blocking_gaps）；无占位/无省略号,C2,DONE,U037,CODEX
U040,Derive stable outline from chapter skeleton + section briefs,STRUCTURE,outline-builder,outline/chapter_skeleton.yml;outline/section_briefs.jsonl,outline/outline.yml,outline由 section-first 层派生，含章节+小节，且每小节至少3个bullet,C2,DONE,U038,CODEX
U050,Map papers to each subsection,STRUCTURE,section-mapper,papers/core_set.csv;outline/outline.yml,outline/mapping.tsv,每小节映射数满足 queries.md:per_subsection（course_paper=6；survey/deep=28；覆盖率=100%）；避免少数论文跨小节过度复用（除非 truly cross-cutting）,C2,DONE,U040,CODEX
U051,Planner pass: coverage report + outline state (NO PROSE),STRUCTURE,outline-refiner,outline/outline.yml;outline/mapping.tsv;GOAL.md,outline/coverage_report.md;outline/outline_state.jsonl;output/REROUTE_STATE.json,coverage_report.md 含 per-subsection 表；outline_state.jsonl 至少1条记录，且记录 structure_phase/h3_status/approval_status/reroute_target/retry_budget_remaining；REROUTE_STATE.json 存在且与最新 outline_state 一致；无占位/无省略号,C2,DONE,U050,CODEX
U052,Draft C2 review summary (scope+section skeleton+outline),META,pipeline-router,outline/taxonomy.yml;outline/chapter_skeleton.yml;outline/section_bindings.jsonl;outline/section_binding_report.md;outline/section_briefs.jsonl;outline/outline.yml;outline/mapping.tsv;outline/coverage_report.md;outline/outline_state.jsonl;output/REROUTE_STATE.json,DECISIONS.md,DECISIONS含C2 review摘要（覆盖 chapter skeleton + section bindings + stable outline + reroute state）,C2,DONE,U051,CODEX
U055,HUMAN approve C2 (scope+section skeleton+outline),META,human-checkpoint,DECISIONS.md,DECISIONS.md,勾选 DECISIONS.md 的 Approve C2,C2,DONE,U052,HUMAN
U058,Download PDFs + extract fulltext snippets,EVIDENCE,pdf-text-extractor,papers/core_set.csv;outline/mapping.tsv,papers/fulltext_index.jsonl,fulltext_index非空；若 evidence_mode=fulltext 则需若干篇提取成功（strict 会拦截接近0）,C3,DONE,U055,CODEX
U060,Write paper notes + evidence bank for core set,EVIDENCE,paper-notes,papers/core_set.csv;papers/fulltext_index.jsonl,papers/paper_notes.jsonl;papers/evidence_bank.jsonl,core_set覆盖率100%；标注 evidence_level；evidence_bank 密度满足 profile（course_paper>=4 items/纸；survey/deep>=7 items/纸）；避免大量重复模板泄漏到下游,C3,DONE,U058,CODEX
U075,Build subsection briefs (writing cards) [NO PROSE],EVIDENCE,subsection-briefs,outline/outline.yml;outline/mapping.tsv;papers/paper_notes.jsonl;GOAL.md,outline/subsection_briefs.jsonl,每个H3生成写作意图卡（scope_rule/rq/thesis/axes/clusters；paragraph_plan：course_paper=6，survey/deep=10；每段含 argument_role+connector_to_prev+connector_phrase）；无省略号/无占位符,C3,DONE,U060,CODEX
U076,Build chapter briefs (H2 writing cards) [NO PROSE],EVIDENCE,chapter-briefs,outline/outline.yml;outline/subsection_briefs.jsonl;GOAL.md,outline/chapter_briefs.jsonl,每个含H3的H2生成 chapter brief（synthesis_mode+synthesis_preview+throughline/key_contrasts/lead_paragraph_plan）；无占位/无省略号,C3,DONE,U075,CODEX
U090,Verify citations and build ref.bib,CITE,citation-verifier,papers/paper_notes.jsonl,citations/ref.bib;citations/verified.jsonl,ref.bib每条都有verified.jsonl记录（url+date+title）,C4,DONE,U060,CODEX
U091,Bind evidence IDs to subsections (evidence plan) [NO PROSE],EVIDENCE,evidence-binder,outline/subsection_briefs.jsonl;outline/mapping.tsv;papers/evidence_bank.jsonl;citations/ref.bib,outline/evidence_bindings.jsonl;outline/evidence_binding_report.md,每个H3满足 profile：course_paper evidence_ids>=6、mapped_bibkeys>=6、bibkeys>=6、distinct papers>=4；survey/deep evidence_ids>=24、mapped_bibkeys>=28、bibkeys>=20；evidence_ids 可在 evidence_bank 中定位；无占位/无省略号,C4,DONE,U090;U075;U060,CODEX
U092,Build evidence packs per subsection [NO PROSE],EVIDENCE,evidence-draft,outline/subsection_briefs.jsonl;papers/paper_notes.jsonl;papers/evidence_bank.jsonl;outline/evidence_bindings.jsonl;citations/ref.bib,outline/evidence_drafts.jsonl,每个H3证据包满足 profile：course_paper snippets>=6/comparisons>=3/evaluation>=3/limitations>=3；survey 12/4/5/5；deep 14/6/6/6；blocking_missing为空；引用key可验证；无占位/无省略号,C4,DONE,U091,CODEX
U0925,Define table schemas (index+appendix; evidence-first) [NO PROSE],EVIDENCE,table-schema,outline/outline.yml;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;GOAL.md,outline/table_schema.md,table_schema.md 定义 Index+Appendix 两层表格（course_paper 总计>=2；survey/deep>=4），并明确每列证据来源；无占位/无省略号,C4,DONE,U092,CODEX
U0926,Fill index tables from evidence packs (citations in rows) [NO PROSE],EVIDENCE,table-filler,outline/table_schema.md;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl;citations/ref.bib,outline/tables_index.md,outline/tables_index.md 为内部索引表（course_paper>=1；survey/deep>=2；每行含 citations；无占位/无省略号；避免长段落单元格；不直接进入终稿）,C4,DONE,U0925;U093,CODEX
U0927,Curate reader-facing Appendix tables (publishable) [NO PROSE],EVIDENCE,appendix-table-writer,outline/table_schema.md;outline/tables_index.md;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl;citations/ref.bib,outline/tables_appendix.md;output/TABLES_APPENDIX_REPORT.md,outline/tables_appendix.md 为面向读者的可发表表格（course_paper>=1；survey/deep>=2；无 headings；每行含 citations；无占位/无省略号）；TABLES_APPENDIX_REPORT.md 为 PASS,C4,DONE,U0926;U093,CODEX
U093,Build per-subsection anchor sheet (evidence → write hooks) [NO PROSE],EVIDENCE,anchor-sheet,outline/evidence_drafts.jsonl;citations/ref.bib,outline/anchor_sheet.jsonl,每个H3 anchors 满足 profile（course_paper>=6；survey>=10；deep>=12），包含 numbers/benchmarks/failures/protocol context，且每条含 citations+pointers；无占位/无省略号,C4,DONE,U092,CODEX
U0935,Normalize schema across C3/C4 JSONL artifacts (NO PROSE),QA,schema-normalizer,outline/outline.yml;citations/ref.bib;outline/subsection_briefs.jsonl;outline/chapter_briefs.jsonl;outline/evidence_bindings.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl,output/SCHEMA_NORMALIZATION_REPORT.md,SCHEMA_NORMALIZATION_REPORT.md Status: PASS；关键 JSONL 记录补齐 section_id/section_title；citations 列表统一为 raw bibkey（无 @ 前缀）。,C4,DONE,U093,CODEX
U099,Build writer context packs (C4→C5 bridge) [NO PROSE],EVIDENCE,writer-context-pack,outline/outline.yml;outline/subsection_briefs.jsonl;outline/chapter_briefs.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl;outline/evidence_bindings.jsonl;citations/ref.bib,outline/writer_context_packs.jsonl,每个H3 writer pack 满足 profile：course_paper plan=6/anchors>=6/comparisons>=3/limitations>=2/mapped>=6；survey/deep plan=10 且使用各自高密度阈值；must_use 非空；无占位/无省略号,C4,DONE,U0935;U076,CODEX
U0995,Evidence self-loop TODO (prewrite routing),QA,evidence-selfloop,outline/subsection_briefs.jsonl;outline/evidence_bindings.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl,output/EVIDENCE_SELFLOOP_TODO.md,EVIDENCE_SELFLOOP_TODO.md 写出 Status + 每个缺口小节的最小上游修复路径（回到 C2/C3/C4 哪个 skill）；若存在 evidence_drafts.blocking_missing 则此 unit 必须 BLOCKED（先补证据再写作）,C4,DONE,U099,CODEX
U094,Rewrite claim-evidence matrix from evidence packs [NO PROSE],EVIDENCE,claim-matrix-rewriter,outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;citations/ref.bib,outline/claim_evidence_matrix.md,矩阵以 evidence packs 为准：每小节含 `- Claim:` 且 `Evidence:`>=2；无占位/无模板句/无省略号,C4,DONE,U092,CODEX
U095,Write front matter (Abstract/Intro/Related/Discussion/Conclusion),WRITE,front-matter-writer,DECISIONS.md;outline/outline.yml;outline/mapping.tsv;papers/retrieval_report.md;papers/core_set.csv;queries.md;citations/ref.bib,sections/abstract.md;sections/S1.md;sections/S2.md;sections/discussion.md;sections/conclusion.md;output/FRONT_MATTER_REPORT.md,FRONT_MATTER_REPORT.md Status: PASS；全部 front matter 文件存在且无占位符；course_paper Intro cites>=6/paras>=3、Related cites>=8/paras>=3；survey/deep 使用 pipeline quality_contract 的高密度阈值；methodology note 仅出现一次；无 pipeline 术语泄漏,C5,DONE,U0995,CODEX
U096,Write H2 chapter leads (coherence bridge),WRITE,chapter-lead-writer,outline/outline.yml;outline/chapter_briefs.jsonl;outline/writer_context_packs.jsonl;citations/ref.bib,output/CHAPTER_LEADS_REPORT.md,CHAPTER_LEADS_REPORT.md Status: PASS；每个含H3的H2都有 `sections/S<sec_id>_lead.md`（body-only，无 headings），2–3段且引用嵌入（>=2 cites）；无 slash-list 轴标签/无占位符,C5,DONE,U0995,CODEX
U100,Write H3 subsection bodies (argument moves; body-only),WRITE,subsection-writer,outline/outline.yml;outline/chapter_briefs.jsonl;outline/subsection_briefs.jsonl;outline/anchor_sheet.jsonl;outline/writer_context_packs.jsonl;outline/evidence_drafts.jsonl;outline/evidence_bindings.jsonl;citations/ref.bib;DECISIONS.md,sections/sections_manifest.jsonl;sections/h3_bodies.refined.ok,为每个H3写 `sections/S<sub_id>.md`（body-only，无 heading；满足写作合同：thesis early + concrete A-vs-B contrasts + protocol-aware evaluation anchor + cross-paper synthesis + limitation；顺序可变，禁止固定段落宏），写完后创建 marker `sections/h3_bodies.refined.ok`（空文件即可）作为完成信号；然后 rerun 本 unit 生成更新后的 sections_manifest.jsonl,C5,DONE,U0995;U099;U076,CODEX
U1005,Writer self-loop (sections quality gate + actionable TODO),QA,writer-selfloop,sections/sections_manifest.jsonl;outline/subsection_briefs.jsonl;outline/chapter_briefs.jsonl;outline/writer_context_packs.jsonl;outline/evidence_bindings.jsonl;citations/ref.bib;queries.md,output/WRITER_SELFLOOP_TODO.md,WRITER_SELFLOOP_TODO.md Status: PASS；只修失败的 sections/*.md；满足 draft_profile 的小节深度/引用密度/论证骨架；引用范围符合 evidence_bindings；无旁白模板/无占位符,C5,DONE,U095;U096;U100,CODEX
U1006,Style harmonizer (de-slot openers; keep citations fixed),QA,style-harmonizer,output/WRITER_SELFLOOP_TODO.md;sections/;outline/writer_context_packs.jsonl;citations/ref.bib,sections/style_harmonized.refined.ok,若 WRITER_SELFLOOP_TODO.md 有 Style Smells，则必须完成去口癖/去模板化改写（含开头句型去模板）；仅允许改写被点名的 sections/*.md，禁止新增事实与 citation keys；完成后创建 marker `sections/style_harmonized.refined.ok`。,C5,DONE,U1005,CODEX
U1007,Opener variator (de-template H3 openers; keep citations fixed),QA,opener-variator,output/WRITER_SELFLOOP_TODO.md;sections/;outline/writer_context_packs.jsonl;citations/ref.bib,sections/opener_varied.refined.ok,按 WRITER_SELFLOOP_TODO.md 中 Style Smells 点名文件完成开头去模板化（禁用“This subsection.../In this subsection.../overview narration”）；不得新增事实或改 citation keys；创建 marker `sections/opener_varied.refined.ok`。,C5,DONE,U1006,CODEX
U102,Logic polish H3 sections (thesis + connectors),QA,section-logic-polisher,sections/;outline/subsection_briefs.jsonl;outline/writer_context_packs.jsonl;queries.md,output/SECTION_LOGIC_REPORT.md,"SECTION_LOGIC_REPORT.md 为 PASS；每个 H3 第一段含 thesis/takeaway（结论先行；对齐 briefs thesis；避免 """"This subsection ..."""" 旁白模板句）；逻辑关系要清晰但不靠句首连接词堆叠（鼓励 subject-first + mid-sentence glue；连接词统计仅作提示，不作为硬阈值 gate）；不新增/不修改 citation keys；无占位符",C5,DONE,U1007,CODEX
U1026,Compact H3 paragraphs to the active profile budget,QA,paragraph-curator,output/SECTION_LOGIC_REPORT.md;output/WRITER_SELFLOOP_TODO.md;sections/;queries.md;citations/ref.bib,output/PARAGRAPH_CURATION_REPORT.md;sections/paragraphs_curated.refined.ok,PARAGRAPH_CURATION_REPORT.md Status: PASS；只处理 H3；每个 H3 收敛到 profile 段落预算（course_paper:5-7 / survey:10-12 / deep:11-13）；仅合并相邻段落并保持 citation blocks 顺序和成员不变；报告记录 before/after；创建 marker,C5,DONE,U102,CODEX
U1008,Numeric hygiene sweep before final snapshot (same-sentence eval context),QA,evaluation-anchor-checker,sections/;outline/writer_context_packs.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl;citations/ref.bib,output/EVAL_ANCHOR_REPORT.md,EVAL_ANCHOR_REPORT.md 存在且非空；Files checked>0；保留数字/性能断言的 H3 段落需具备同句最小评测上下文（task/metric/constraint 至少两类且不缺 metric），否则降级为定性表述；不新增/不删除/不移动 citation keys,C5,DONE,U1026,CODEX
U1025,Snapshot final section arguments and consistency contract,QA,argument-selfloop,sections/;outline/outline.yml;output/PARAGRAPH_CURATION_REPORT.md;citations/ref.bib;queries.md,output/ARGUMENT_SELFLOOP_TODO.md;output/SECTION_ARGUMENT_SUMMARIES.jsonl;output/ARGUMENT_SKELETON.md;sections/sections_manifest.jsonl,ARGUMENT_SELFLOOP_TODO.md Status: PASS；summaries 覆盖当前全部 H3 且每段 moves 合法；Consistency Contract 存在；sections_manifest 的 bytes+sha256 与最终 H3 内容一致；snapshot 为中间态且不进入终稿,C5,DONE,U1008,CODEX
U098,Weave optional transitions (no new facts) [NO PROSE],STRUCTURE,transition-weaver,outline/outline.yml;outline/subsection_briefs.jsonl,outline/transitions.md,transitions.md 生成可审阅的可选过渡句（无新事实/无引用）；仅在 workspace 明确创建 insertion marker 时进入终稿,C5,DONE,U1025,CODEX
U101,Merge final section snapshot into a single draft,WRITE,section-merger,GOAL.md;outline/outline.yml;outline/transitions.md;sections/sections_manifest.jsonl;outline/tables_appendix.md,output/DRAFT.md;output/MERGE_REPORT.md,DRAFT.md 由最终 sections snapshot + Appendix tables 组装；transitions 仅按 insertion marker 注入；MERGE_REPORT.md 为 PASS（无缺失小节、stale manifest 或表格）,C5,DONE,U100;U098;U0927;U1025,CODEX
U103,Post-merge reader-voice gate,QA,post-merge-voice-gate,output/DRAFT.md;outline/transitions.md,output/POST_MERGE_VOICE_REPORT.md,POST_MERGE_VOICE_REPORT.md Status: PASS；默认只检查实际 DRAFT；仅在 insertion marker 启用时把 transitions 视为注入来源；若 FAIL 按报告路由回实际来源,C5,DONE,U101,CODEX
U104,"Citation budget report (boost unique cites, NO NEW FACTS)",QA,citation-diversifier,output/DRAFT.md;outline/outline.yml;outline/writer_context_packs.jsonl;citations/ref.bib,output/CITATION_BUDGET_REPORT.md,生成每个H3的 in-scope citation budget（优先未被全局使用的 bibkeys），写入 output/CITATION_BUDGET_REPORT.md；不修改内容；不引入新引用key,C5,DONE,U103,CODEX
U1045,Inject in-scope citations from budget (NO NEW FACTS),WRITE,citation-injector,output/DRAFT.md;output/CITATION_BUDGET_REPORT.md;outline/outline.yml;citations/ref.bib,output/DRAFT.md;output/CITATION_INJECTION_REPORT.md,如果 budget report Gap=0 则 no-op 且 PASS；否则只注入报告建议的 in-scope keys，不得引入新事实/数字；注入后达到 profile policy target（course_paper hard>=24/recommended>=32；survey hard>=150/recommended>=165）；写 CITATION_INJECTION_REPORT.md (Status: PASS),C5,DONE,U104,CODEX
U105,Polish draft (de-template + coherence),WRITE,draft-polisher,output/DRAFT.md,output/DRAFT.md,去除套话/ellipsis/模板句；保持引用不变；禁止连续引用块与同块重复 key；H3 句中引用比例满足 profile（course_paper>=20%；survey/deep>=30%）；通过 draft 质量门槛,C5,DONE,U1045,CODEX
